run,model,epoch,lam,task_loss,ponder_loss,test_score,test_task_loss,test_t,epoch_time_s
0,ait,0,0.001,0.39302404820282233,0.0004330442658163862,0.9184,0.2854749375343323,0.39970148401260375,136.41
0,ait,1,0.001,0.28118492890563274,0.0004092179283322607,0.9258,0.2554963652610779,0.41851225905418393,124.96
0,ait,2,0.001,0.25688704025223214,0.00046238875870779954,0.9226,0.26358497886657717,0.4871298894405365,151.8
0,ait,3,0.001,0.24148087749560165,0.0005433489034961289,0.9311,0.2330166199684143,0.555214472579956,182.2
0,ait,4,0.001,0.22219401816081288,0.0006441868882443215,0.9361,0.22047066593170167,0.6703127002716065,218.65
0,ait,5,0.001,0.19604572422133806,0.0007428049606631279,0.9448,0.1915495127916336,0.813921856880188,271.2
0,ait,6,0.001,0.17434581443189812,0.0008040910650643671,0.9555,0.1595621066570282,0.8238171371459961,313.11
0,ait,7,0.001,0.15676308803769767,0.0008297266532382411,0.9575,0.1466033263683319,0.8408712884902955,348.06
0,ait,8,0.001,0.14068456914307725,0.00085025342740019,0.9511,0.16994270813465118,0.8464978335380554,374.66
0,ait,9,0.001,0.13017590154105654,0.0008686334420837319,0.9608,0.13988186049461365,0.8717917633056641,401.37
1,ait,0,0.001,0.3937963633201061,0.00045966679653457296,0.9191,0.2853731692314148,0.4420731181144714,113.6
1,ait,1,0.001,0.2840142041508459,0.00045227037076579616,0.9178,0.2801902993679047,0.45795776414871214,127.66
1,ait,2,0.001,0.26460051068510765,0.0004856004806297123,0.9309,0.24155800485610962,0.5082943853378296,137.71
1,ait,3,0.001,0.2505184138655408,0.0005452016816383952,0.9295,0.24491489481925965,0.57930562915802,147.53
1,ait,4,0.001,0.2364156815326876,0.0005994634967721187,0.9351,0.2282813440322876,0.6269729574203491,180.03
1,ait,5,0.001,0.2205015988304065,0.0006655226406864185,0.9377,0.21786174793243407,0.6470607378005981,218.75
1,ait,6,0.001,0.20460371441470507,0.0006966679039835118,0.941,0.20261027522087097,0.6941348339080811,240.91
1,ait,7,0.001,0.1903417596243258,0.0007179903319706487,0.9438,0.20273579390048982,0.7283165664672852,269.67
1,ait,8,0.001,0.1731982261945422,0.000725169283657287,0.9516,0.17831747515201568,0.723423982334137,311.97
1,ait,9,0.001,0.16297304585703418,0.0007210438632014263,0.9484,0.18092872562408446,0.738688726234436,331.75
